Order;Family;Genus;Species;Taxon;Species_english;Origin;Distribution;Distr_recent;habitat;habitat_short;migratory_status;diet;Likelihood;new_rank;new_name;comments;group
Coraciiformes;Meropidae;Merops;Merops nubicus;Merops nubicus;Northern Carmine Bee-eater;African;African;no;open, inland wetland;open;migratory;invertebrates;low;genus;Merops;genus on Sibirian checklist;small_birds
Cuculiformes;Cuculidae;Ceuthmochares;Ceuthmochares aereus;Ceuthmochares aereus;Blue Malkoha;African;African;no;forest;forest;resident;invertebrates;low;family;Cuculidae;;small_birds
Cuculiformes;Cuculidae;Cuculus;Cuculus canorus;Cuculus canorus;Common Cuckoo;Palaearctic;Palaearctic;yes;any, forest, shrubland;diverse;long-distance;invertebrates;high;species;Cuculus canorus;;small_birds
Falconiformes;Falconidae;Falco;Falco biarmicus;Falco biarmicus;Lanner Falcon;Palaearctic;Palaearctic;no;open, cliffs;open;resident;carnivore;medium;genus;Falco;southern Europe, towards Africa;raptors
Falconiformes;Falconidae;Falco;Falco cherrug;Falco cherrug;Saker Falcon;Palaearctic;Palaearctic;yes;open, cliffs;open;long-distance;carnivore;high;species;Falco;East Palaearctic;raptors
Falconiformes;Falconidae;Falco;Falco naumanni;Falco naumanni;Lesser Kestrel;Palaearctic;Palaearctic;yes;open, cliffs;open;long-distance;invertebrates;high;species;Falco naumanni;southern Eurasia, Central Asia, Mongolia, East Asia;raptors
Falconiformes;Falconidae;Falco;Falco peregrinus;Falco peregrinus;Peregrine Falcon;Holarctic;Holarctic;yes;any, cliffs;diverse;long-distance;carnivore;high;species;Falco peregrinus;;raptors
Falconiformes;Falconidae;Falco;Falco rusticolus;Falco rusticolus;Gyrfalcon;Holarctic;Holarctic;yes;arctic tundra, open;open;short-distance;carnivore;high;species;Falco rusticolus;;raptors
Galliformes;Phasianidae;Centrocercus;Centrocercus urophasianus;Centrocercus urophasianus;Greater Sage-Grouse;Nearctic;Nearctic;no;open grassland, silver sagebrush in Canada;open;resident;herbivore;low;genus;Centrocercus;formerly distributed also in Canada, rapid extinction/range contraction;galliformes
Galliformes;Phasianidae;Coturnix;Coturnix japonica;Coturnix japonica;Japanese Quail;Palaearctic;East/Central Asia, Russia;yes;open grassland;open;medium-distance;herbivore;high;species;Coturnix japonica;;galliformes
Galliformes;Phasianidae;Crossoptilon;Crossoptilon sp.;Crossoptilon sp.;NA;Palaearctic;Palaearctic;yes;open forest, alpine, subalpine;forest;resident;herbivore;medium;genus;Crossoptilon;group of eared-pheasants occur in China, Tibet;galliformes
